exchange_reaction_id;exchange_reaction_name;limiting;initial_lb;initial_ub;vmax;km
DM_4crsol_c;Sink needed to allow p-Cresol to leave system;TRUE;-1000;1000;0;0
DM_5drib_c;Sink needed to allow 5'-deoxyribose to leave system;TRUE;-1000;1000;0;0
DM_aacald_c;Sink needed to allow aminoacetaldehyde to leave system;TRUE;-1000;1000;0;0
DM_amob_c;Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system;TRUE;-1000;1000;0;0
DM_mththf_c;Sink needed to allow (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran to leave system;TRUE;-1000;1000;0;0
DM_oxam_c;Sink needed to allow oxamate to leave system;TRUE;-1000;1000;0;0
EX_12ppd__R_e;(R)-Propane-1,2-diol exchange;TRUE;-1000;1000;0;0
EX_12ppd__S_e;(S)-Propane-1,2-diol exchange;TRUE;-1000;1000;0;0
EX_14glucan_e;1,4-alpha-D-glucan exchange;TRUE;-1000;1000;0;0
EX_15dap_e;1,5-Diaminopentane exchange;TRUE;-1000;1000;0;0
EX_23camp_e;2',3'-Cyclic AMP exchange;TRUE;-1000;1000;0;0
EX_23ccmp_e;2',3'-Cyclic CMP exchange;TRUE;-1000;1000;0;0
EX_23cgmp_e;2',3'-Cyclic GMP exchange;TRUE;-1000;1000;0;0
EX_23cump_e;2',3'-Cyclic UMP exchange;TRUE;-1000;1000;0;0
EX_23dappa_e;2,3-diaminopropionate exchange;TRUE;-1000;1000;0;0
EX_26dap__M_e;Meso-2,6-Diaminoheptanedioate exchange;TRUE;-1000;1000;0;0
EX_2ddglcn_e;2-Dehydro-3-deoxy-D-gluconate exchange;TRUE;-1000;1000;0;0
EX_34dhpac_e;3,4-Dihydroxyphenylacetaldehyde exchange;TRUE;-1000;1000;0;0
EX_3amp_e;3'-AMP exchange;TRUE;-1000;1000;0;0
EX_3cmp_e;3'-cmp exchange;TRUE;-1000;1000;0;0
EX_3gmp_e;3'-GMP exchange;TRUE;-1000;1000;0;0
EX_3hcinnm_e;3-hydroxycinnamic acid exchange;TRUE;-1000;1000;0;0
EX_3hpp_e;3-Hydroxypropanoate exchange;TRUE;-1000;1000;0;0
EX_3hpppn_e;3-(3-hydroxy-phenyl)propionate exchange;TRUE;-1000;1000;0;0
EX_3ump_e;3'-UMP exchange;TRUE;-1000;1000;0;0
EX_4abut_e;4-Aminobutanoate exchange;TRUE;-1000;1000;0;0
EX_4hoxpacd_e;4-Hydroxyphenylacetaldehyde exchange;TRUE;-1000;1000;0;0
EX_5dglcn_e;5-Dehydro-D-gluconate exchange;TRUE;-1000;1000;0;0
EX_5mtr_e;5-Methylthio-D-ribose exchange;TRUE;-1000;1000;0;0
EX_LalaDglu_e;L-alanine-D-glutamate exchange;TRUE;-1000;1000;0;0
EX_LalaDgluMdap_e;L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate exchange;TRUE;-1000;1000;0;0
EX_LalaDgluMdapDala_e;L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine exchange;TRUE;-1000;1000;0;0
EX_LalaLglu_e;L-alanine-L-glutamate exchange;TRUE;-1000;1000;0;0
EX_ac_e;Acetate exchange;TRUE;-10;2.2;0;0
EX_acac_e;Acetoacetate exchange;TRUE;-1000;1000;0;0
EX_acald_e;Acetaldehyde exchange;TRUE;-1000;1000;0;0
EX_acgal_e;N-Acetyl-D-galactosamine exchange;TRUE;-1000;1000;0;0
EX_acgal1p_e;N-Acetyl-D-galactosamine 1-phosphate exchange;TRUE;-1000;1000;0;0
EX_acgam_e;N-Acetyl-D-glucosamine exchange;TRUE;-1000;1000;0;0
EX_acgam1p_e;N-Acetyl-D-glucosamine 1-phosphate exchange;TRUE;-1000;1000;0;0
EX_acmana_e;N-Acetyl-D-mannosamine exchange;TRUE;-1000;1000;0;0
EX_acmum_e;N-Acetylmuramate exchange;TRUE;-1000;1000;0;0
EX_acnam_e;N-Acetylneuraminate exchange;TRUE;-1000;1000;0;0
